frame,Bone_z,Bone_001_z,Bone_002_z,Bone_003_z,Bone_004_z,Bone_005_z,Bone_006_z,Bone_007_z,Bone_009_z,Bone_010_z,Bone_008_z,Bone_011_z
1,0.0,11.8179,11.8179,11.8179,17.5302,-167.0418,0.0111,-1.6268,0.0111,-178.9939,-167.0418,-0.0
2,0.0,11.7566,11.7566,11.7566,17.4237,-167.1047,0.011,-1.6269,0.011,-178.994,-167.1047,-0.0
3,0.0,11.5786,11.5786,11.5786,17.1162,-167.2878,0.0107,-1.6272,0.0107,-178.9944,-167.2878,-0.0
4,0.0,11.2929,11.2929,11.2929,16.6282,-167.5824,0.0101,-1.6278,0.0101,-178.9949,-167.5824,-0.0
5,0.0,10.909,10.909,10.909,15.983,-167.9797,0.0093,-1.6285,0.0094,-178.9957,-167.9797,-0.0
6,0.0,10.4372,10.4372,10.4372,15.2047,-168.4703,0.0084,-1.6295,0.0084,-178.9966,-168.4703,-0.0
7,0.0,9.8876,9.8876,9.8876,14.3167,-169.0449,0.0073,-1.6306,0.0073,-178.9977,-169.0449,-0.0
8,0.0,9.2708,9.2708,9.2708,13.3411,-169.6942,0.006,-1.6318,0.0061,-178.999,-169.6942,-0.0
9,0.0,8.5972,8.5972,8.5972,12.2977,-170.4085,0.0047,-1.6332,0.0047,-179.0004,-170.4085,-0.0
10,0.0,7.8769,7.8769,7.8769,11.2038,-171.1785,0.0032,-1.6347,0.0032,-179.0019,-171.1785,-0.0
11,0.0,7.1199,7.1199,7.1199,10.0751,-171.9949,0.0016,-1.6362,0.0016,-179.0034,-171.9949,-0.0
12,0.0,6.3357,6.3357,6.3357,8.9241,7.1522,-0.0,-1.6379,-0.0,-179.0051,7.1522,-0.0
13,0.0,5.5334,5.5334,5.5334,7.7627,6.2716,-0.0018,-1.6396,-0.0018,-179.0068,6.2716,-0.0
14,0.0,4.7215,4.7215,4.7215,6.6011,5.3724,-0.0035,-1.6413,-0.0035,-179.0085,5.3724,-0.0
15,0.0,3.9079,3.9079,3.9079,5.4481,4.4632,-0.0053,-1.6431,-0.0053,-179.0103,4.4632,-0.0
16,0.0,3.1,3.1,3.1,4.3117,3.5528,-0.007,-1.6448,-0.007,-179.0121,3.5528,-0.0
17,0.0,2.3044,2.3044,2.3044,3.1993,2.6491,-0.0088,-1.6466,-0.0088,-179.0138,2.6491,-0.0
18,0.0,1.5273,1.5273,1.5273,2.1173,1.7605,-0.0105,-1.6483,-0.0105,-179.0155,1.7605,-0.0
19,0.0,0.7742,0.7742,0.7742,1.0721,0.8942,-0.0122,-1.65,-0.0121,-179.0172,0.8942,-0.0
20,0.0,0.0499,0.0499,0.0499,0.0691,0.0574,-0.0137,-1.6516,-0.0137,-179.0188,0.0574,-0.0
21,0.0,-0.6409,-0.6409,-0.6409,-0.8863,-0.7434,-0.0153,-1.6531,-0.0152,-179.0203,-0.7434,-0.0
22,0.0,-1.2943,-1.2943,-1.2943,-1.7893,-1.5022,-0.0167,-1.6545,-0.0167,-179.0217,-1.5022,-0.0
23,0.0,-1.9068,-1.9068,-1.9068,-2.6354,-2.2137,-0.018,-1.6558,-0.018,-179.023,-2.2137,-0.0
24,0.0,-2.475,-2.475,-2.475,-3.4205,-2.8729,-0.0192,-1.6571,-0.0192,-179.0242,-2.8729,-0.0
25,0.0,-2.9958,-2.9958,-2.9958,-4.1406,-3.476,-0.0203,-1.6582,-0.0203,-179.0253,-3.476,-0.0
26,0.0,-3.4664,-3.4664,-3.4664,-4.7921,-4.019,-0.0213,-1.6592,-0.0213,-179.0263,-4.019,-0.0
27,0.0,-3.8841,-3.8841,-3.8841,-5.3711,-4.499,-0.0222,-1.6601,-0.0222,-179.0272,-4.499,-0.0
28,0.0,-4.2461,-4.2461,-4.2461,-5.8738,-4.913,-0.023,-1.6608,-0.023,-179.0279,-4.913,-0.0
29,0.0,-4.5496,-4.5496,-4.5496,-6.2961,-5.2587,-0.0236,-1.6614,-0.0236,-179.0285,-5.2587,-0.0
30,0.0,-4.7917,-4.7917,-4.7917,-6.6338,-5.533,-0.0241,-1.6619,-0.0241,-179.029,-5.533,-0.0
31,0.0,-4.9692,-4.9692,-4.9692,-6.8818,-5.7335,-0.0244,-1.6623,-0.0244,-179.0294,-5.7335,-0.0
32,0.0,-5.0787,-5.0787,-5.0787,-7.035,-5.8568,-0.0247,-1.6625,-0.0246,-179.0296,-5.8568,-0.0
33,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,-1.6626,-0.0247,-179.0297,-5.8989,-0.0
34,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,-1.6415,-0.0247,-179.0409,-5.8989,-0.0
35,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,-1.5805,-0.0247,-179.0735,-5.8989,-0.0
36,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,-1.4829,-0.0247,-179.1255,-5.8989,-0.0
37,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,-1.3519,-0.0247,-179.1953,-5.8989,-0.0
38,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,-1.1908,-0.0247,-179.281,-5.8989,-0.0
39,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,-1.0028,-0.0247,-179.3808,-5.8989,-0.0
40,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,-0.7913,-0.0247,-179.493,-5.8989,-0.0
41,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,-0.5599,-0.0247,-179.6157,-5.8989,-0.0
42,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,-0.3121,-0.0247,-179.747,-5.8989,-0.0
43,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,-0.0517,-0.0247,-179.8852,-5.8989,-0.0
44,0.0,-5.1161,-5.1161,-5.1161,-7.0874,-5.8989,-0.0247,0.2175,-0.0247,179.9717,-5.8989,-0.0
